FLOX_site_code,DOYdayfrac,UTC_datetime,SIF_FARRED_max,SIF_FARRED_max_wvl,SIF_RED_max,SIF_RED_max_wvl,SIF_O2B,SIF_O2A,SIF_int,SIF_O2B_un,SIF_O2A_un
IT-JDS,198.3974239,32:17.4,3.031585714,741.801819,1.246455952,689.8931,1.005845238,2.125888095,190.1146476,0.055387146,0.105774561
IT-SR2,197.4274586,15:32.4,3.419987879,741.9636758,1.4758,689.8931,1.188648485,2.473724242,213.9729273,0.056989848,0.111877879
