site_code,date,SIF_FARRED_max_flox,SIF_FARRED_max_wvl_flox,SIF_RED_max_flox,SIF_RED_max_wvl_flox,SIF_O2B_flox,SIF_O2A_flox,SIF_int_flox,SIF_FARRED_max_un_flox,SIF_FARRED_max_wvl_un_flox,SIF_RED_max_un_flox,SIF_RED_max_wvl_un_flox,SIF_O2B_un_flox,SIF_O2A_un_flox,SIF_int_un_flox,SIF_FARRED_max_flex,SIF_FARRED_max_wvl_flex,SIF_RED_max_flex,SIF_RED_max_wvl_flex,SIF_O2B_flex,SIF_O2A_flex,SIF_int_flex,SIF_FARRED_max_un_flex,SIF_FARRED_max_wvl_un_flex,SIF_RED_max_un_flex,SIF_RED_max_wvl_un_flex,SIF_O2B_un_flex,SIF_O2A_un_flex,SIF_int_un_flex,SIF_O2A_tf,SIF_FARRED_max_tf,SIF_int_tf,SIF_O2B_tf,SIF_RED_max_tf,SIF_O2A_un_tf,SIF_FARRED_max_un_tf,SIF_int_un_tf,SIF_O2B_un_tf,SIF_RED_max_un_tf
IT-JDS,20220717,0.8163746,740.123,0.1549215,685.241,0.1671965,0.5143986,44.70749,0.0833638,0.152,0.01721849,0.161,0.01844599,0.0531662,4.660647,0.81637466,740.1229858,0.154921457,685.2410278,0.167196497,0.514398634,44.70749283,0.083363801,0.151999995,0.017218487,0.160999998,0.018445991,0.053166196,4.660646439,2.170054867,3.443978412,188.6041413,2.276626987,2.109484754,0,0,0,0,0
US-LIN,20230711,1.093936,740.123,0.1738596,685.241,0.1869145,0.700423,58.20037,0.11112,0.152,0.0191123,0.161,0.02041779,0.07176864,6.009934,1.093936205,740.1229858,0.173859611,685.2410278,0.186914533,0.700423002,58.20037079,0.111119956,0.151999995,0.0191123,0.160999998,0.020417795,0.071768641,6.009934425,0.548501521,0.856661703,45.57673214,0.152914681,0.142234472,0,0,0,0,0
IT-SR2,20230616,1.587888,740.123,0.789807,685.241,0.8373982,0.9333605,104.6114,0.1605151,0.152,0.08070704,0.161,0.08546616,0.09506239,10.65103,1.587887645,740.1229858,0.789806962,685.2410278,0.837398112,0.933360398,104.6113586,0.16051513,0.151999995,0.080707043,0.160999998,0.085466154,0.09506239,10.6510334,0.973420276,1.656040056,109.1013149,1.021998755,0.963916296,0,0,0,0,0
IT-JDS2,20220717,1.093936,740.123,0.1738596,685.241,0.1869145,0.700423,58.20037,0.11112,0.152,0.0191123,0.161,0.02041779,0.07176864,6.009934,0.842755795,657.887085,0.146617994,609.1032104,0.158642977,0.536770046,45.57830811,0.086001918,0.135302916,0.016388141,0.143302932,0.017590636,0.055403341,4.747728348,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0
