site_code,latitude,longitude,flex_date,flex_time,flex_filename,s2_filename,SIF_FARRED_max,SIF_FARRED_max_wvl,SIF_RED_max,SIF_RED_max_wvl,SIF_O2B,SIF_O2A,SIF_int,SIF_FARRED_max_un,SIF_FARRED_max_wvl_un,SIF_RED_max_un,SIF_RED_max_wvl_un,SIF_O2B_un,SIF_O2A_un,SIF_int_un
IT-JDS2,44.85314969,12.06555824,20220717,93225,PRS_TD_20220717_093225.nc,S2A_MSIL2A_20220717T100611_N0510_R022_T32TQQ_20240717T130024.SAFE,0.8427557945251465,657.8870849609375,0.1466179937124252,609.1032104492188,0.15864297747612,0.5367700457572937,45.57830810546875,0.086001917719841,0.1353029161691665,0.0163881406188011,0.1433029323816299,0.0175906363874673,0.0554033406078815,4.74772834777832
IT-JDS,44.874305,11.979201,20220717,93225,PRS_TD_20220717_093225.nc,S2A_MSIL2A_20220717T100611_N0510_R022_T32TQQ_20240717T130024.SAFE,0.816374659538269,740.1229858398438,0.1549214571714401,685.2410278320312,0.1671964973211288,0.5143986344337463,44.70749282836914,0.083363801240921,0.1519999951124191,0.0172184873372316,0.1609999984502792,0.0184459909796714,0.0531661957502365,4.660646438598633
IT-SR2,43.732,10.291,20230616,101431,PRS_TD_20230616_101431.nc,S2B_MSIL2A_20230617T100559_N0509_R022_T32TPP_20230617T131301.SAFE,1.5878876447677612,740.1229858398438,0.7898069620132446,685.2410278320312,0.837398111820221,0.9333603978157043,104.61135864257812,0.1605151295661926,0.1519999951124191,0.0807070434093475,0.1609999984502792,0.0854661539196968,0.0950623899698257,10.651033401489258
US-LIN,41.1797,-96.44039,20230711,171357,PRS_TD_20230711_171357.nc,S2A_MSIL2A_20230711T171901_N0510_R012_T14TQL_20241019T173735.SAFE,1.0939362049102783,740.1229858398438,0.1738596111536026,685.2410278320312,0.1869145333766937,0.700423002243042,58.20037078857422,0.1111199557781219,0.1519999951124191,0.0191123001277446,0.1609999984502792,0.0204177945852279,0.0717686414718627,6.009934425354004
