site_code,latitude,longitude,flex_date,flex_time,flex_filename,s2_filename,Sif Emission Spectrum_sif_wavelength_grid=670,Sif Emission Spectrum_sif_wavelength_grid=672,Sif Emission Spectrum_sif_wavelength_grid=674,Sif Emission Spectrum_sif_wavelength_grid=676,Sif Emission Spectrum_sif_wavelength_grid=678,Sif Emission Spectrum_sif_wavelength_grid=680,Sif Emission Spectrum_sif_wavelength_grid=682,Sif Emission Spectrum_sif_wavelength_grid=684,Sif Emission Spectrum_sif_wavelength_grid=686,Sif Emission Spectrum_sif_wavelength_grid=688,Sif Emission Spectrum_sif_wavelength_grid=690,Sif Emission Spectrum_sif_wavelength_grid=692,Sif Emission Spectrum_sif_wavelength_grid=694,Sif Emission Spectrum_sif_wavelength_grid=696,Sif Emission Spectrum_sif_wavelength_grid=698,Sif Emission Spectrum_sif_wavelength_grid=700,Sif Emission Spectrum_sif_wavelength_grid=702,Sif Emission Spectrum_sif_wavelength_grid=704,Sif Emission Spectrum_sif_wavelength_grid=706,Sif Emission Spectrum_sif_wavelength_grid=708,Sif Emission Spectrum_sif_wavelength_grid=710,Sif Emission Spectrum_sif_wavelength_grid=712,Sif Emission Spectrum_sif_wavelength_grid=714,Sif Emission Spectrum_sif_wavelength_grid=716,Sif Emission Spectrum_sif_wavelength_grid=718,Sif Emission Spectrum_sif_wavelength_grid=720,Sif Emission Spectrum_sif_wavelength_grid=722,Sif Emission Spectrum_sif_wavelength_grid=724,Sif Emission Spectrum_sif_wavelength_grid=726,Sif Emission Spectrum_sif_wavelength_grid=728,Sif Emission Spectrum_sif_wavelength_grid=730,Sif Emission Spectrum_sif_wavelength_grid=732,Sif Emission Spectrum_sif_wavelength_grid=734,Sif Emission Spectrum_sif_wavelength_grid=736,Sif Emission Spectrum_sif_wavelength_grid=738,Sif Emission Spectrum_sif_wavelength_grid=740,Sif Emission Spectrum_sif_wavelength_grid=742,Sif Emission Spectrum_sif_wavelength_grid=744,Sif Emission Spectrum_sif_wavelength_grid=746,Sif Emission Spectrum_sif_wavelength_grid=748,Sif Emission Spectrum_sif_wavelength_grid=750,Sif Emission Spectrum_sif_wavelength_grid=752,Sif Emission Spectrum_sif_wavelength_grid=754,Sif Emission Spectrum_sif_wavelength_grid=756,Sif Emission Spectrum_sif_wavelength_grid=758,Sif Emission Spectrum_sif_wavelength_grid=760,Sif Emission Spectrum_sif_wavelength_grid=762,Sif Emission Spectrum_sif_wavelength_grid=764,Sif Emission Spectrum_sif_wavelength_grid=766,Sif Emission Spectrum_sif_wavelength_grid=768,Sif Emission Spectrum_sif_wavelength_grid=770,Sif Emission Spectrum_sif_wavelength_grid=772,Sif Emission Spectrum_sif_wavelength_grid=774,Sif Emission Spectrum_sif_wavelength_grid=776,Sif Emission Spectrum_sif_wavelength_grid=778,Sif Emission Spectrum_sif_wavelength_grid=780
IT-JDS2,44.85314969,12.06555824,20220717,93225,PRS_TD_20220717_093225.nc,S2A_MSIL2A_20220717T100611_N0510_R022_T32TQQ_20240717T130024.SAFE,0.0298218354582786,0.0348050519824028,0.0404019095003604,0.0477156303822994,0.0574930198490619,0.0683460608124733,0.0786652565002441,0.0885376334190368,0.0979442000389099,0.1054147630929946,0.1099343076348304,0.1132498085498809,0.1174313127994537,0.1227774992585182,0.1291094124317169,0.1362749487161636,0.1442890465259552,0.1530751436948776,0.1627797484397888,0.1741042733192443,0.1878172010183334,0.2036349028348922,0.2211095839738845,0.2399284243583679,0.2598391771316528,0.2814425528049469,0.3049921095371246,0.3289594352245331,0.3520357012748718,0.3753615319728851,0.3998726904392242,0.4237725436687469,0.4451082348823547,0.4638611674308777,0.4799545705318451,0.4909618496894836,0.4945703744888305,0.4910323619842529,0.4810597896575928,0.4646406769752502,0.4422791302204132,0.4173221886157989,0.3926548659801483,0.3666145801544189,0.3377032876014709,0.3089771866798401,0.2837835848331451,0.2613168656826019,0.2399135082960128,0.2185893654823303,0.1970400363206863,0.1769641637802124,0.1599886119365692,0.1457425057888031,0.1334684938192367,0.122864045202732
IT-JDS,44.874305,11.979201,20220717,93225,PRS_TD_20220717_093225.nc,S2A_MSIL2A_20220717T100611_N0510_R022_T32TQQ_20240717T130024.SAFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT-SR2,43.732,10.291,20230616,101431,PRS_TD_20230616_101431.nc,S2B_MSIL2A_20230617T100559_N0509_R022_T32TPP_20230617T131301.SAFE,0.0132753551006317,0.0160982757806777,0.0192263722419738,0.0232700109481811,0.0283817648887634,0.0337224304676055,0.0379186868667602,0.0405126810073852,0.0411230325698852,0.0395208597183227,0.0355535149574279,0.0303654670715332,0.0251010954380035,0.0202182233333587,0.0155642032623291,0.0112916827201843,0.007400631904602,0.0038910508155822,0.0006866753101348,0.0024414360523223,0.0054932534694671,0.0085450708866119,0.0117494761943817,0.0150301456451416,0.0184634327888488,0.0219730138778686,0.0257114171981811,0.0293736457824707,0.0330358147621154,0.0365453958511352,0.0401312112808227,0.0434882044792175,0.0466163158416748,0.0492103695869445,0.0514992475509643,0.0531776547431945,0.0539405941963195,0.0538643598556518,0.0528725385665893,0.051270306110382,0.0489051938056945,0.0462347865104675,0.0435645580291748,0.0407415628433227,0.0376134812831878,0.0344091057777404,0.0315861999988555,0.0291447341442108,0.0267032980918884,0.024414449930191,0.0219729840755462,0.0197604149580001,0.0178530514240264,0.0162508487701416,0.0148775437846779,0.0137331187725067
US-LIN,41.1797,-96.44039,20230711,171357,PRS_TD_20230711_171357.nc,S2A_MSIL2A_20230711T171901_N0510_R012_T14TQL_20241019T173735.SAFE,0.0132235940545797,0.0154353464022278,0.0179285313934087,0.0211968012154102,0.0255036354064941,0.0302005130797624,0.0344297885894775,0.0382926128804683,0.0417658351361751,0.0444506667554378,0.0459661185741424,0.04719153419137,0.0491080544888973,0.0518112890422344,0.0552185960114002,0.0593125745654106,0.0640276297926902,0.0692701116204261,0.075136512517929,0.0819876194000244,0.0901726558804512,0.099651962518692,0.1102794781327247,0.1218912899494171,0.1344100832939148,0.1482158452272415,0.1633781790733337,0.1791117638349533,0.1946376711130142,0.210577130317688,0.2273460179567337,0.2438832521438598,0.2589823007583618,0.2725498974323272,0.2844008505344391,0.2930851578712463,0.2971086204051971,0.2965607643127441,0.2918353676795959,0.2828826010227203,0.2700620591640472,0.2554792463779449,0.2409860044717788,0.2255936563014984,0.2083209604024887,0.1910549402236938,0.1758555620908737,0.1622765809297561,0.1492767184972763,0.1362329870462417,0.1229817122220993,0.1106267049908638,0.1001180037856102,0.0913006737828254,0.0836074650287628,0.0770093277096748
