site_code,latitude,longitude,flex_date,flex_time,flex_filename,s2_filename,Sif Emission Spectrum_sif_wavelength_grid=670,Sif Emission Spectrum_sif_wavelength_grid=672,Sif Emission Spectrum_sif_wavelength_grid=674,Sif Emission Spectrum_sif_wavelength_grid=676,Sif Emission Spectrum_sif_wavelength_grid=678,Sif Emission Spectrum_sif_wavelength_grid=680,Sif Emission Spectrum_sif_wavelength_grid=682,Sif Emission Spectrum_sif_wavelength_grid=684,Sif Emission Spectrum_sif_wavelength_grid=686,Sif Emission Spectrum_sif_wavelength_grid=688,Sif Emission Spectrum_sif_wavelength_grid=690,Sif Emission Spectrum_sif_wavelength_grid=692,Sif Emission Spectrum_sif_wavelength_grid=694,Sif Emission Spectrum_sif_wavelength_grid=696,Sif Emission Spectrum_sif_wavelength_grid=698,Sif Emission Spectrum_sif_wavelength_grid=700,Sif Emission Spectrum_sif_wavelength_grid=702,Sif Emission Spectrum_sif_wavelength_grid=704,Sif Emission Spectrum_sif_wavelength_grid=706,Sif Emission Spectrum_sif_wavelength_grid=708,Sif Emission Spectrum_sif_wavelength_grid=710,Sif Emission Spectrum_sif_wavelength_grid=712,Sif Emission Spectrum_sif_wavelength_grid=714,Sif Emission Spectrum_sif_wavelength_grid=716,Sif Emission Spectrum_sif_wavelength_grid=718,Sif Emission Spectrum_sif_wavelength_grid=720,Sif Emission Spectrum_sif_wavelength_grid=722,Sif Emission Spectrum_sif_wavelength_grid=724,Sif Emission Spectrum_sif_wavelength_grid=726,Sif Emission Spectrum_sif_wavelength_grid=728,Sif Emission Spectrum_sif_wavelength_grid=730,Sif Emission Spectrum_sif_wavelength_grid=732,Sif Emission Spectrum_sif_wavelength_grid=734,Sif Emission Spectrum_sif_wavelength_grid=736,Sif Emission Spectrum_sif_wavelength_grid=738,Sif Emission Spectrum_sif_wavelength_grid=740,Sif Emission Spectrum_sif_wavelength_grid=742,Sif Emission Spectrum_sif_wavelength_grid=744,Sif Emission Spectrum_sif_wavelength_grid=746,Sif Emission Spectrum_sif_wavelength_grid=748,Sif Emission Spectrum_sif_wavelength_grid=750,Sif Emission Spectrum_sif_wavelength_grid=752,Sif Emission Spectrum_sif_wavelength_grid=754,Sif Emission Spectrum_sif_wavelength_grid=756,Sif Emission Spectrum_sif_wavelength_grid=758,Sif Emission Spectrum_sif_wavelength_grid=760,Sif Emission Spectrum_sif_wavelength_grid=762,Sif Emission Spectrum_sif_wavelength_grid=764,Sif Emission Spectrum_sif_wavelength_grid=766,Sif Emission Spectrum_sif_wavelength_grid=768,Sif Emission Spectrum_sif_wavelength_grid=770,Sif Emission Spectrum_sif_wavelength_grid=772,Sif Emission Spectrum_sif_wavelength_grid=774,Sif Emission Spectrum_sif_wavelength_grid=776,Sif Emission Spectrum_sif_wavelength_grid=778,Sif Emission Spectrum_sif_wavelength_grid=780
IT-JDS2,44.85314969,12.06555824,20220717,93225,PRS_TD_20220717_093225.nc,S2A_MSIL2A_20220717T100611_N0510_R022_T32TQQ_20240717T130024.SAFE,0.0476081483066082,0.0556530430912971,0.0646728202700614,0.0763798803091049,0.0920118987560272,0.10909353941679,0.1250561624765396,0.1398065686225891,0.1534294635057449,0.1638564616441726,0.1697142273187637,0.1739867627620697,0.1800479739904403,0.1883980631828308,0.1986555159091949,0.210676223039627,0.2243076413869857,0.2394479662179947,0.2562074661254883,0.2758068144321441,0.2994159460067749,0.3267126083374023,0.3570271730422973,0.3898171186447143,0.4248026609420776,0.462882399559021,0.5045140981674194,0.5472139120101929,0.5887269973754883,0.6307909488677979,0.6751015186309814,0.718420147895813,0.757390022277832,0.7919347882270813,0.8217746019363403,0.8427557945251465,0.8507752418518066,0.8462315201759338,0.8302688002586365,0.802929699420929,0.7650280594825745,0.7225146889686584,0.6803658604621887,0.6358434557914734,0.5861923098564148,0.5367700457572937,0.4933496117591858,0.4546510279178619,0.4176818132400512,0.3807719349861145,0.3434042632579803,0.3085628747940063,0.2790875136852264,0.2543085813522339,0.2329120337963104,0.2144231647253036
IT-JDS,44.874305,11.979201,20220717,93225,PRS_TD_20220717_093225.nc,S2A_MSIL2A_20220717T100611_N0510_R022_T32TQQ_20240717T130024.SAFE,0.0408941805362701,0.0479133278131485,0.055542841553688,0.0657663866877555,0.0791943222284317,0.0938429832458496,0.1075761020183563,0.1202410906553268,0.1318379491567611,0.1406881809234619,0.1455710679292678,0.1487754583358764,0.1535057574510574,0.1599145531654358,0.1678492426872253,0.1773098409175872,0.1878385543823242,0.1995880007743835,0.2125581800937652,0.2276646047830581,0.2461280226707458,0.2673380672931671,0.2909895479679107,0.3163195252418518,0.3431754112243652,0.372472733259201,0.4043640792369842,0.4367132186889648,0.468146800994873,0.4997329711914062,0.5329976081848145,0.5653467774391174,0.5943388938903809,0.6196689009666443,0.6414892673492432,0.6564431190490723,0.661478579044342,0.6569008827209473,0.6436255574226379,0.6216525435447693,0.5917448401451111,0.5584802031517029,0.5253680944442749,0.4905775487422943,0.4518196284770965,0.4135195016860962,0.3797970414161682,0.3497367799282074,0.3210498094558716,0.2925154566764831,0.2636758983135223,0.2368200272321701,0.2140840739011764,0.1950103044509887,0.1786831468343734,0.1644922494888305
IT-SR2,43.732,10.291,20230616,101431,PRS_TD_20230616_101431.nc,S2B_MSIL2A_20230617T100559_N0509_R022_T32TPP_20230617T131301.SAFE,0.3089951872825622,0.3665980100631714,0.4313725531101227,0.5150682926177979,0.6256198883056641,0.7449454069137573,0.8519874811172485,0.9412527680397034,1.0086976289749146,1.0400549173355105,1.0264744758605957,0.990005373954773,0.9554436206817628,0.927824854850769,0.906385898590088,0.8915846347808838,0.8838788270950317,0.8829632997512817,0.8889143466949463,0.9044022560119628,0.9312580823898317,0.9669642448425292,1.007858395576477,1.0518807172775269,1.098191738128662,1.148699164390564,1.204318284988403,1.2597085237503052,1.310063362121582,1.3598077297210691,1.4132906198501587,1.4647135734558103,1.5073624849319458,1.5421531200408936,1.5696192979812622,1.5827419757843018,1.5746548175811768,1.546654462814331,1.5015640258789062,1.4393835067749023,1.3616387844085691,1.2774853706359863,1.1951628923416138,1.1096360683441162,1.016632318496704,0.9252308011054992,0.8455023765563965,0.7748531103134155,0.7083237767219543,0.6427099704742432,0.5772488117218018,0.5168993473052979,0.4661631286144256,0.4238193333148956,0.3876554369926452,0.3567559421062469
US-LIN,41.1797,-96.44039,20230711,171357,PRS_TD_20230711_171357.nc,S2A_MSIL2A_20230711T171901_N0510_R012_T14TQL_20241019T173735.SAFE,0.0573569685220718,0.0670888274908065,0.0779905617237091,0.0921136289834976,0.1108483150601387,0.1311936825513839,0.1497079730033874,0.1663742065429687,0.1813450008630752,0.1924840807914734,0.1984351128339767,0.2029449939727783,0.210099771618843,0.2205098271369934,0.2336664944887161,0.2493323981761932,0.2673041522502899,0.2873443365097046,0.3095885813236236,0.3355458974838257,0.3666234314441681,0.4025329649448395,0.4425285756587982,0.4859150648117065,0.5323703289031982,0.5830981135368347,0.6386070251464844,0.6956418752670288,0.7513881921768188,0.8079991340637207,0.8674414753913879,0.9256801605224608,0.9782050251960754,1.0248807668685913,1.065317153930664,1.0939362049102783,1.105583906173706,1.1005654335021973,1.0805931091308594,1.0455143451690674,0.9966005682945251,0.9415663480758668,0.8869730234146118,0.8291752338409424,0.7646465301513672,0.700423002243042,0.6439477205276489,0.5935759544372559,0.5454422235488892,0.4973254799842834,0.4486660957336426,0.4031772911548614,0.3647075891494751,0.3323754072189331,0.3044174909591675,0.2802912890911102
