SIF metrics,R^2,RMSE,Mean residual,Random uncertainty
SIF_FARRED_max,-28.281305835239063,2.0405321233855265,-2.032319358279022,0.03344937253258828
SIF_RED_max,-5.72077250555202,0.8974212393877415,-0.8670493398305664,0.05359032320360905
SIF_O2B,-1.8821466980496981,0.6297953401540742,-0.5643424898807755,0.07815972459495288
SIF_O2A,-59.468158061717965,1.582212990026641,-1.5819369761381683,0.0008733493358722327
SIF_int,-16.161963167255763,127.87808011139606,-126.46782919804689,358.6915509102669
SIF_O2B_un,-inf,0.0561942110768023,-0.056188497000000004,6.421634252010036e-07
SIF_O2A_un,-inf,0.10886899826002204,-0.10882622,9.312622652280989e-06
