site,filename,date,time,SIF_FARRED_max,SIF_FARRED_max_wvl,SIF_RED_max,SIF_RED_max_wvl,SIF_O2B,SIF_O2A,SIF_int,SIF_O2B_un,SIF_O2A_un
IT-JDS,PRS_TD_20240726_101410.nc,20240726,101410,0.816374659538269,740,0.1479107737541198,684,0.1619321405887603,0.5143986344337463,44.707664489746094,0.0,0.0
IT-SR2,PRS_TD_20230616_101431.nc,20230616,101431,1.5705602169036863,740,0.8402464985847473,684,0.9038766026496888,0.921339750289917,106.44425201416016,0.0,0.0
